,path,sentence
65,audio/001/common_voice_ga-IE_18941932.mp3,Agus muid anseo i bPáirc Naomh Éanna
66,audio/001/common_voice_ga-IE_18943342.mp3,tá sé ábalta cur suas le lorg aimsir na hÉireann
67,audio/001/common_voice_ga-IE_18943343.mp3,Tá an crann faoi bhláth.
68,audio/001/common_voice_ga-IE_17410228.mp3,Na bróga beaga
69,audio/001/common_voice_ga-IE_17410229.mp3,D'eitil an t-éan thar an bhfarraige chiúin.
70,audio/001/common_voice_ga-IE_17410230.mp3,"An bhfuil do pheannsa sa bhaile, a Shíle"
71,audio/001/common_voice_ga-IE_17410231.mp3,Beidh na cailíní go léir agus na buachaillí go léir ar scoil amárach
72,audio/001/common_voice_ga-IE_17410240.mp3,barr na huibhe
73,audio/001/common_voice_ga-IE_17410245.mp3,Ceacht a dó dhéag
74,audio/001/common_voice_ga-IE_17410248.mp3,"Ar ndóigh, cuireann na hamharc-ealaíona iontas orainn i gcónaí"
75,audio/001/common_voice_ga-IE_17410253.mp3,"Osclaígí go léir bhur leabhair, a bhuachaillí"
76,audio/001/common_voice_ga-IE_17410260.mp3,"Tá sé go maith, buíochas le Dia"
77,audio/001/common_voice_ga-IE_17410261.mp3,Tá súil agam go bhfuil sibh ag baint taitnimh as an lá
78,audio/001/common_voice_ga-IE_17410268.mp3,An bhfuil fáinne ar an urlár
79,audio/001/common_voice_ga-IE_17410270.mp3,An Balla ard
80,audio/001/common_voice_ga-IE_17410272.mp3,Dá ndéarfainn é.
81,audio/001/common_voice_ga-IE_17410279.mp3,Tá an-áthas orm bheith anseo libh inniu.
82,audio/001/common_voice_ga-IE_17410312.mp3,An toradh ab fhearr.
83,audio/001/common_voice_ga-IE_17410316.mp3,Is mór an pléisiúir dom é an t-ochtó cúigiú Comórtas Náisiúnta Treabhdóireachta a oscailt
84,audio/001/common_voice_ga-IE_17410317.mp3,Tá searmanais den sort seo tábhachtach
85,audio/001/common_voice_ga-IE_17410326.mp3,le linn an chruinnithe
86,audio/001/common_voice_ga-IE_17410327.mp3,Ceacht a Cúig
87,audio/001/common_voice_ga-IE_17410353.mp3,Ní bhíonn airgead amadáin i bhfad ina phóca
88,audio/001/common_voice_ga-IE_17410354.mp3,Is ábhar mórtais agus bróid daoibh an méid sin.
89,audio/001/common_voice_ga-IE_17410356.mp3,Ag an tine
90,audio/001/common_voice_ga-IE_17410397.mp3,Cé hiad seo?
91,audio/001/common_voice_ga-IE_17410404.mp3,Cad í an abhainn is faide ar domhan?
92,audio/001/common_voice_ga-IE_17410405.mp3,Céard í fréamh chearnach fiche a cúig?
93,audio/001/common_voice_ga-IE_17410406.mp3,An Iráic
94,audio/001/common_voice_ga-IE_17410410.mp3,Gael a raibh cliú agus cáil air i measc an phobail mar sár-thráchtaire spóirt
95,audio/001/common_voice_ga-IE_17687632.mp3,"Cuir an bosca ar an mbord, a Dhiarmaid"
96,audio/001/common_voice_ga-IE_17687636.mp3,Tá Tomás Ó Ceallaigh ag teacht anois
97,audio/001/common_voice_ga-IE_17687637.mp3,Is fíor sin.
98,audio/001/common_voice_ga-IE_17687643.mp3,Is fearr an tsláinte ná na táinte
99,audio/001/common_voice_ga-IE_17687652.mp3,gabhaim buíochas libhse ar fad as ucht na fíorchaoin fáilte.
100,audio/001/common_voice_ga-IE_17687661.mp3,An coileach agus an madra rua
101,audio/001/common_voice_ga-IE_17687668.mp3,Is don phobal atá sé.
102,audio/001/common_voice_ga-IE_17687671.mp3,Beidh lá eile ag an bPaorach
103,audio/001/common_voice_ga-IE_17687676.mp3,Ceacht a trí déag
104,audio/001/common_voice_ga-IE_17687682.mp3,An múineadh
105,audio/001/common_voice_ga-IE_17687683.mp3,An bhfeiceann tú é
106,audio/001/common_voice_ga-IE_17687698.mp3,"Ar ndóigh, tá cúrsaí rochtana an-tábhachtach sa chomhthéacs sin."
107,audio/001/common_voice_ga-IE_17687702.mp3,Cluineadh an scread
108,audio/001/common_voice_ga-IE_17687726.mp3,Ceacht a hOcht
109,audio/001/common_voice_ga-IE_17687729.mp3,Leabhair is fearr léi.
110,audio/001/common_voice_ga-IE_17687739.mp3,Rugadh an t-ochtú lá is fiche de mhí feabhra míle ocht gcéad ochtó a dó
111,audio/001/common_voice_ga-IE_17687740.mp3,Aisghairm.
112,audio/001/common_voice_ga-IE_17687746.mp3,Nach bhfuil sé sin go híontach
113,audio/001/common_voice_ga-IE_17687750.mp3,Ainm an Eastáit.
114,audio/001/common_voice_ga-IE_17687753.mp3,"Scór bliain ó shin ar Oíche Shamhna, déanadh éacht i stair na tíre"
115,audio/001/common_voice_ga-IE_17687754.mp3,An bhfuil sí ar scoil inniu
116,audio/001/common_voice_ga-IE_17687755.mp3,Ag an doras
117,audio/001/common_voice_ga-IE_30519266.mp3,"Tá leabhar eile ag Mícheál Ó Foghlú, ach níl aon leabhar ag Cormac Ó Conaill"
118,audio/001/common_voice_ga-IE_30519267.mp3,Is mór an gar a dhéanfadh maoiniú anois.
119,audio/001/common_voice_ga-IE_30519282.mp3,Bhí áthas orm gur ghlac an Wheel páirt i dTionscnamh Eitice Uachtarán na hÉireann.
120,audio/001/common_voice_ga-IE_30519299.mp3,Beo agus muid ag bunú agus ag tógáil Gaelscoileanna nua
121,audio/001/common_voice_ga-IE_30519301.mp3,Cad é an difríocht ama idir seo agus Londain?
122,audio/001/common_voice_ga-IE_30519314.mp3,Siúlann sí ón gcaisleán gach lá.
123,audio/001/common_voice_ga-IE_30519315.mp3,"Níl aon mhaith inti, a Pheig."
124,audio/001/common_voice_ga-IE_30519406.mp3,Éirí as; Comhaltas a Fhionraí; Oibríochtaí a Fhionraí.
125,audio/001/common_voice_ga-IE_30519408.mp3,"An bhfuil bhur leabhair agaibh go léir, a bhuachaillí"
126,audio/001/common_voice_ga-IE_30519409.mp3,"Faraor, ní raibh sé ar mo chumas glacadh le cuireadh Richard anuraidh."
127,audio/001/common_voice_ga-IE_30519413.mp3,Óráid an Uachtaráin Uí Uiginn ag Féile Beo
128,audio/001/common_voice_ga-IE_30519416.mp3,Ar an gcapall
129,audio/001/common_voice_ga-IE_30519426.mp3,Tá an-áthas orm a bheith anseo i bhur measc tráthnóna.
130,audio/001/common_voice_ga-IE_30519432.mp3,Ceacht a hAon
131,audio/001/common_voice_ga-IE_30519434.mp3,na fir mhóra
132,audio/001/common_voice_ga-IE_30519438.mp3,Comhghairdeas libh go léir agus guím gach rath oraibh sa todhchaí.
133,audio/001/common_voice_ga-IE_30519441.mp3,Go deo na ndeor.
134,audio/001/common_voice_ga-IE_30519445.mp3,Tá dlúthdhiosca de chuid den chaint atá sa Chartlann eisithe ag an gColáiste chomh maith.
135,audio/001/common_voice_ga-IE_30519454.mp3,Óráid an Uachtaráin ag Dinnéar Ceiliúrtha Sheachtain na Gaeilge
136,audio/001/common_voice_ga-IE_30519458.mp3,Tá an-áthas orm a bheith in bhur láthair ar an ócáid seo
137,audio/001/common_voice_ga-IE_30519459.mp3,Cad a bhí agat
138,audio/001/common_voice_ga-IE_30519460.mp3,Beimid an-shocair.
139,audio/001/common_voice_ga-IE_30519462.mp3,"Bhí, is dóigh; agus mura mbeadh go raibh, ní liúfainn."
140,audio/001/common_voice_ga-IE_30519472.mp3,Cad é an dath atá ar an leabhar atá agat
141,audio/001/common_voice_ga-IE_30519479.mp3,"Cá bhfuil do dheirfiúr, a Thomáis"
142,audio/001/common_voice_ga-IE_18188265.mp3,"Níl, a bhean uasal, tá sí ag an doras"
143,audio/001/common_voice_ga-IE_18188266.mp3,"Tá sé sa bhaile, agus tá mo dheirfiúr sa bhaile"
144,audio/001/common_voice_ga-IE_18188274.mp3,Séard a theastaigh ó na saoránaigh lenar labhair sibh ná:
145,audio/001/common_voice_ga-IE_18188286.mp3,An Clár
146,audio/001/common_voice_ga-IE_18188294.mp3,Is mór an pléisiúr dom a bheith anseo libh i bPríosún Mhuinseó
147,audio/001/common_voice_ga-IE_18188295.mp3,Is iontach an rud é an líon cumann atá linn anocht ó na hOllscoileanna éagsúla
148,audio/001/common_voice_ga-IE_18188298.mp3,Naoi mí eile.
149,audio/001/common_voice_ga-IE_18188303.mp3,Tá an-áthas orm a bheith i bhur láthair ar an ócáid speisialta seo.
150,audio/001/common_voice_ga-IE_18188315.mp3,"An ar an mbord atá an bosca anois, a Sheáin"
151,audio/001/common_voice_ga-IE_18188317.mp3,Is féidir an rud céanna a rá faoi chúrsaí polaitíochta agus aitheantas an phobail
152,audio/001/common_voice_ga-IE_18188325.mp3,Dúirt sé le Pádraig Ó Dálaigh go raibh an dá leabhar aige inné
153,audio/001/common_voice_ga-IE_18188330.mp3,Óráid an Uachtaráin ag Féasta Ceiliúradh Athbheochan na Gaeilge
154,audio/001/common_voice_ga-IE_18188332.mp3,An mbeidh gal agat?
155,audio/001/common_voice_ga-IE_18188339.mp3,"Go raibh míle maith agaibh go léir, guím gach rath ar bhur gcuid oibre"
156,audio/001/common_voice_ga-IE_18188340.mp3,Thit an duilleog den chrann.
157,audio/001/common_voice_ga-IE_18188375.mp3,Tá cóta mór orm
158,audio/001/common_voice_ga-IE_18188377.mp3,An Príomh-Acht a leasú tuilleadh.
159,audio/001/common_voice_ga-IE_18188475.mp3,Airteagal Réamhráite.
160,audio/001/common_voice_ga-IE_18188476.mp3,le linn na Nollag
161,audio/001/common_voice_ga-IE_18188478.mp3,Bhí sí do mo chrá.
162,audio/001/common_voice_ga-IE_18188489.mp3,Tá an-áthas orm a bheith anseo in bhur measc chun páirt a ghlacadh i bhur gceiliúradh.
163,audio/001/common_voice_ga-IE_18188490.mp3,Is deas cúis a bheith agat.
164,audio/001/common_voice_ga-IE_18188491.mp3,Rinne sé é gan aon mhoill.
165,audio/001/common_voice_ga-IE_18188492.mp3,Tréaslaím leat a Aire as an bhfoilseachán nua.
166,audio/001/common_voice_ga-IE_18188493.mp3,"Ní rabhadar, ach bhíodar ag caint"
167,audio/001/common_voice_ga-IE_18188503.mp3,A Theachtaí Dála agus A Sheanadóirí
168,audio/001/common_voice_ga-IE_18188504.mp3,Ach ní haon iontas an méid sin
169,audio/001/common_voice_ga-IE_18188506.mp3,Tá áthas orm fáilte a fhearadh romhaibh chuig Áras an Uachtaráin tráthnóna.
170,audio/001/common_voice_ga-IE_18188514.mp3,An bhfeiceann tú aon ní eile ar an mbinse
171,audio/001/common_voice_ga-IE_18188516.mp3,An bhfuil fáinne ar a hordóg
172,audio/001/common_voice_ga-IE_18188518.mp3,Is glas iad na cnoic i bhfad uainn
173,audio/001/common_voice_ga-IE_18181607.mp3,Ólann an cat ciúin bainne leis
174,audio/001/common_voice_ga-IE_18181609.mp3,Míle buíochas daoibh as an gcuireadh agus as an bhfáilte a chuir sibh romham.
175,audio/001/common_voice_ga-IE_18181610.mp3,Ní bhíonn saoi gan locht
176,audio/001/common_voice_ga-IE_18181616.mp3,Ar chaith mé sa lá.
177,audio/001/common_voice_ga-IE_18181618.mp3,Ceacht a Ceathair
178,audio/001/common_voice_ga-IE_18181620.mp3,a hocht a chlog
179,audio/001/common_voice_ga-IE_18181623.mp3,Is mór an pléisiúr dom a bheith anseo ar maidin
180,audio/001/common_voice_ga-IE_18181881.mp3,Ní raibh mórán de mhaoin an tsaoil aige.
181,audio/001/common_voice_ga-IE_18181903.mp3,an cnoc is airde in Éirinn
182,audio/001/common_voice_ga-IE_18181907.mp3,Níl cead agat.
183,audio/001/common_voice_ga-IE_18181920.mp3,Ábhar ginearálta.
184,audio/001/common_voice_ga-IE_18181951.mp3,Beidh mála eile aige amárach
185,audio/001/common_voice_ga-IE_18181958.mp3,Guím gach rath ar bhur gcomhdháil thábhachtach.
186,audio/001/common_voice_ga-IE_18182421.mp3,"Is mian liom mo bhuíochas a ghabháil leatsa, a Seansailéir, as do chuid focail lácha"
187,audio/001/common_voice_ga-IE_18182422.mp3,"De réir mar a neartófar an fhís, neartófar an Ghaeilge"
188,audio/001/common_voice_ga-IE_18182423.mp3,Pós bean ón sliabh agus pósfaidh tú an sliabh
189,audio/001/common_voice_ga-IE_18182437.mp3,Fáinne fí atá ann.
190,audio/001/common_voice_ga-IE_18182443.mp3,Tá an-áthas orm a bheith anseo i gCnocán an Éin Fhinn inniu
191,audio/001/common_voice_ga-IE_18182445.mp3,"I ndiaidh cúpla iarracht gan rath, ceadaíodh coimisiúnú an phíosa bhreá seo ar deireadh"
192,audio/001/common_voice_ga-IE_18182455.mp3,D’fhéach sé ar an bhfrog
193,audio/001/common_voice_ga-IE_18182023.mp3,Tá cuid agaibh ar bheagán Gaeilge agus cuid eile líofa ar fad
194,audio/001/common_voice_ga-IE_18182027.mp3,Bhí an méid a tharla i ndiaidh na ndúnmharuithe chomh tubaisteach céanna
195,audio/001/common_voice_ga-IE_18182033.mp3,Táid beirt linn inniu agus cuirim fáilte rompu
196,audio/001/common_voice_ga-IE_18182034.mp3,An siúlfá amach liom?
197,audio/001/common_voice_ga-IE_18182060.mp3,Bhí sé ag obair
198,audio/001/common_voice_ga-IE_18182062.mp3,"Tá, a bhean uasal, agus tá leabhar agam"
199,audio/001/common_voice_ga-IE_18182091.mp3,"A Ard-Mhéara agus a Dhaoine Uaisle,"
200,audio/001/common_voice_ga-IE_18182687.mp3,Na bróga móra
201,audio/001/common_voice_ga-IE_18182703.mp3,Ní dóigh liom go raibh
202,audio/001/common_voice_ga-IE_18182719.mp3,An bhinnse ghearr
203,audio/001/common_voice_ga-IE_18182738.mp3,An Astráil
204,audio/001/common_voice_ga-IE_18182741.mp3,Bíonn grásta Dé idir an diallait agus an talamh
205,audio/001/common_voice_ga-IE_18182753.mp3,Tá sí ag imirt i lár na páirce.
206,audio/001/common_voice_ga-IE_18182756.mp3,Beo agus muid ag freastal ar pop-up Gaeltachtaí ar fud an domhain
207,audio/001/common_voice_ga-IE_18182788.mp3,Is comhartha suntasach í dár bhféin-mheas mar náisiún
208,audio/001/common_voice_ga-IE_18182792.mp3,Gael a raibh clú agus cáil air i measc an phobail mar shár-thráchtaire spóirt
209,audio/001/common_voice_ga-IE_17401286.mp3,Guím gach rath ar Chomhdháil Oileán na hÉireann.
210,audio/001/common_voice_ga-IE_17401292.mp3,"A Thánaiste, a Oirirceasa"
211,audio/001/common_voice_ga-IE_17401294.mp3,"a sheansailéir, a leas-sheansailéir, a mhic léinn, a dhaoine uaisle"
212,audio/001/common_voice_ga-IE_17401299.mp3,"Tá mé go maith, buíochas le Dia, conas atá tú féin"
213,audio/001/common_voice_ga-IE_17401300.mp3,An té is lú eolais is é is mó a labhraíonn
214,audio/001/common_voice_ga-IE_17401305.mp3,"Tá leabhar agamsa, a dhuine uasail"
215,audio/001/common_voice_ga-IE_17401307.mp3,Impím oraibh gan na maidí a ligin le sruth
216,audio/001/common_voice_ga-IE_17401309.mp3,Na méireanna fada
217,audio/001/common_voice_ga-IE_17401310.mp3,Is mór an pléisiúir dom bheith anseo inniu
218,audio/001/common_voice_ga-IE_17401311.mp3,Bhí Séamus sa bhaile
219,audio/001/common_voice_ga-IE_17401330.mp3,Bhí an coileach ina sheasamh in airde ar an gcró
220,audio/001/common_voice_ga-IE_17401332.mp3,An Cabhán
221,audio/001/common_voice_ga-IE_17401333.mp3,Cá bhfuil do pheann
222,audio/001/common_voice_ga-IE_17401335.mp3,"Tá cathaoir ag an doras, agus tá cathaoir eile ag an bhfuinneog anois"
223,audio/001/common_voice_ga-IE_17401337.mp3,an tseamróg ghlas bheag
224,audio/001/common_voice_ga-IE_17401339.mp3,Tá áthas orm féin agus ar Saidhbhín fáilte a fhearadh romhaibh go hÁras an Uachtaráin
225,audio/001/common_voice_ga-IE_17585010.mp3,"Leabhar dearg is ea é sin, agus leabhar bán is ea é seo"
226,audio/001/common_voice_ga-IE_17585019.mp3,Cur chuige den sort sin atá ag teastáil ónar dteanga.
227,audio/001/common_voice_ga-IE_17585021.mp3,is fear é
228,audio/001/common_voice_ga-IE_17585025.mp3,An mbeidh tú féin ar scoil amárach
229,audio/001/common_voice_ga-IE_17585029.mp3,An capall dubh
230,audio/001/common_voice_ga-IE_17585034.mp3,Ar dheis Dé go raibh a anam
231,audio/001/common_voice_ga-IE_17585035.mp3,Achomhairc.
232,audio/001/common_voice_ga-IE_17585043.mp3,Beidh sé ar scoil amárach
233,audio/001/common_voice_ga-IE_17585045.mp3,Níor bhris focal maith fiacail riamh
234,audio/001/common_voice_ga-IE_17899124.mp3,tá siad ag teacht ón tseilg
235,audio/001/common_voice_ga-IE_17899127.mp3,Chreid Leonardo féin go láidir i gcumhacht an phictiúir mar uirlis eolais
236,audio/001/common_voice_ga-IE_17899141.mp3,Níl mála ar an gcathaoir
237,audio/001/common_voice_ga-IE_17899142.mp3,An fáinne deas
238,audio/001/common_voice_ga-IE_17899143.mp3,Cé mhéad lá atá i mí na Nollag?
239,audio/001/common_voice_ga-IE_17899144.mp3,Ní dóigh liom go bhfuil
240,audio/001/common_voice_ga-IE_17899146.mp3,Dia daoibh a chairde
241,audio/001/common_voice_ga-IE_17899147.mp3,Tá áthas orm a bheith libh ar fad tráthnóna ag an ócáid cheiliúrtha seo
242,audio/001/common_voice_ga-IE_18254884.mp3,Is mór an pléisiúr dom a bheith anseo libh inniu
243,audio/001/common_voice_ga-IE_18254887.mp3,Coir dhéistineach a chuir uafás ar an tír uile
244,audio/001/common_voice_ga-IE_18254903.mp3,Airgead de chuid Chúlchiste na gCairteacha Coigiltis a infheistiú.
245,audio/001/common_voice_ga-IE_18254919.mp3,Tá áthas orm a bheith libh ar fad anseo.
246,audio/001/common_voice_ga-IE_18254925.mp3,Airleacain chun an Bhoird as an bPríomh-Chiste chun tuathlímistéir a leictriú.
247,audio/001/common_voice_ga-IE_18265191.mp3,Nach raibh peann aici inné
248,audio/001/common_voice_ga-IE_18265196.mp3,Na binsí gearra
249,audio/001/common_voice_ga-IE_18265207.mp3,"Mar sin, munar miste libh, tá mé chun beagán den dá theanga a labhairt inniu"
250,audio/001/common_voice_ga-IE_18265212.mp3,Is mór idir grá agus crá.
251,audio/001/common_voice_ga-IE_18265223.mp3,Teach ceann tuí é sin.
252,audio/001/common_voice_ga-IE_18265230.mp3,Go raibh maith agaibh as ucht bhur gcuid flaithiúlachta agus bhur bhfíorchaoin fáilte.
253,audio/001/common_voice_ga-IE_18265251.mp3,Cad a bhí ag bean Joe?
254,audio/001/common_voice_ga-IE_18265253.mp3,Is mór an pléisiúr dom é MayFest dhá mhíle a sé déag a oscailt
255,audio/001/common_voice_ga-IE_18265256.mp3,Mar a dúirt sé féin
256,audio/001/common_voice_ga-IE_18265264.mp3,tá sé ar an gcapall
257,audio/001/common_voice_ga-IE_18265286.mp3,Ach tá áthas orm aitheantas a thabhairt d’iarrachtaí atá á ndéanamh ag Glór na nGael
258,audio/001/common_voice_ga-IE_22590762.mp3,Go raibh míle maith agaibh go léir agus guím gach rath agus beannacht oraibh.
259,audio/001/common_voice_ga-IE_22590858.mp3,"Fís dhaonna a bhí agus atá fós ann, fís shíochánta, agus fís radacach"
260,audio/001/common_voice_ga-IE_22591045.mp3,Thug sé don fhear eile é.
261,audio/001/common_voice_ga-IE_22623844.mp3,Is é Sliabh Everest an sliabh is airde ar domhan
262,audio/001/common_voice_ga-IE_22623863.mp3,Conas atá sé
263,audio/001/common_voice_ga-IE_22623884.mp3,Tá fáinne deas ar an lúidín
264,audio/001/common_voice_ga-IE_22623910.mp3,D'iarr sí go gcuirfí leaba ar fáil.
265,audio/001/common_voice_ga-IE_22623995.mp3,"A mhaca léinn, a fhoirne acadúil, a chairde,"
266,audio/001/common_voice_ga-IE_22624028.mp3,Tugaim cuairt go minic ar ghaelscoileanna fud fad na tíre
267,audio/001/common_voice_ga-IE_22624070.mp3,"A dhaoine córa,"
268,audio/001/common_voice_ga-IE_22624130.mp3,"Cuir an leabhar seo ar an mbord, a Mháire"
269,audio/001/common_voice_ga-IE_22624157.mp3,"A sheansailéir, a leas-sheansailéir, a mhic léinn, a dhaoine uaisle"
270,audio/001/common_voice_ga-IE_22624158.mp3,agus comhghairdeas libh arís
271,audio/001/common_voice_ga-IE_22624159.mp3,Bhí a chnaipe déanta.
272,audio/001/common_voice_ga-IE_22624177.mp3,Díolfaidh sé as an uair is lú a bheidh coinne aige
273,audio/001/common_voice_ga-IE_22624209.mp3,Guím gach rath oraibh don todhchaí
274,audio/001/common_voice_ga-IE_22625251.mp3,Tá an-áthas orm a bheith anseo inniu chun Féile Lár-Shamhraidh Phort Láirge a oscailt.
275,audio/001/common_voice_ga-IE_22625278.mp3,Thug sí an dá leabhar dom.
276,audio/001/common_voice_ga-IE_22625280.mp3,An Ciste Caomhnaithe Bradán.
277,audio/001/common_voice_ga-IE_22625320.mp3,Go ndéana Dia grásta ar a anam dílis
278,audio/001/common_voice_ga-IE_22625332.mp3,"Bhíodar, agus bhíomar féin ag obair anseo"
279,audio/001/common_voice_ga-IE_22625368.mp3,An bhróg mhór
280,audio/001/common_voice_ga-IE_22625369.mp3,Airnéis ar an Eastát a aistriú chun an Fhorais.
281,audio/001/common_voice_ga-IE_22625386.mp3,Leigheas na póite ná ól arís.
282,audio/001/common_voice_ga-IE_22625421.mp3,Aititheoirí rátaithe áirithe a bheith ina gcoimeádaithe ex officio.
283,audio/001/common_voice_ga-IE_22625466.mp3,Maireann croí éadrom i bhfad
284,audio/001/common_voice_ga-IE_22625543.mp3,Cad í an ilchríoch is mó ar domhan?
285,audio/001/common_voice_ga-IE_22625547.mp3,Óráid an Uachtaráin ar ócáid do Phardún Mhaolra Seoighe
286,audio/001/common_voice_ga-IE_22625576.mp3,An bhfuil peann ag Nóra
287,audio/001/common_voice_ga-IE_22625582.mp3,Ar an mbóthar
288,audio/001/common_voice_ga-IE_22625643.mp3,An raibh sibh
289,audio/001/common_voice_ga-IE_22625668.mp3,Ní neart go cur le chéile
290,audio/001/common_voice_ga-IE_22625675.mp3,Chuir na longa chun farraige.
